id;uuid;name;short_name;tin;ogrn;egis_otb_rf;tax_system;address;description;country
1;Cambridgeshire Замбия;dynamic CSS;Synergistic протокол;Международный золотой;regional Bedfordshire invoice;ул.;сохранить Районный synergize;Компьютер Куртка;e-enable интеграционный;Бельгия
2;Fiji communities;Невероятный Портмоне сенсор;интерфейс красно-коричневый help-desk;explicit;Visionary индексировать Резиновый;definition;для Ремень;Savings вычисление Auto;Маленький;Армения
3;желто-коричневый;Великолепный info-mediaries Практичный;Account Quality-focused Резиновый;Buckinghamshire Фильмы страховой;Коми-Пермяцкий customized;client-server FTP;extranet менеджер;Волгоградская винчестер область;кортеж;Швеция
4;Liberian область XML;Норвегия;ул. признана) leading-edge;collaborative help-desk;Лоснящийся analyzer Гранитный;Public-key;Республика;пл.;HTTP Районный;Науру
5;Хлопковый empower Лоснящийся;Berkshire;улица Свитер transform;передатчик Игрушки;Franc;сжатие Галантерея;Loan Автомобильное;винчестер Республика;Dirham;Мьянма
6;Avon;многобайтный;Болгария solutions Грубый;координатор;synergies maximize Фантастический;парсер Областной;Buckinghamshire;Hryvnia;Районный Носки администратор;Болгария
7;Фантастический withdrawal;площадь engineer;Интеллектуальный площадь сенсорный;Великолепный механизм;services Деревянный;Persistent;переопределить Индия;leading-edge Sharable Personal;eyeballs;Сербия
8;Account;Грубый;протокол лазурный;aggregate проспект фиолетовый;навигация;info-mediaries;мобильный;incentivize вычисление;Investment Account обойти;Аомынь (не признана)
9;Центральный зашифровать;страховой;Деревянный страховой Card;копировать Главный;Robust convergence;инженер ул.;Лесото Меха Невероятный;Account Кепка;Account беспроводной;Камбоджа
10;Account сжатие;secondary;architectures Buckinghamshire;Account Натуральный;Практичный ПЗУ;Rupee область Тульская;Деревянный Чили;музыка Фиджи;ПО;Мьянма
